Publisher,Time,Author,Title,ID
HarperOne; Revised ed. edition,4/21/15,C. S. Lewis,The Great Divorce,306
Penguin Books,6/1/99,Jack Kerouac,On the Road,307
Grand Central Publishing; Updated edition,1/1/00,Octavia E. Butler,Parable of the Sower (Earthseed),308
Tor Fantasy; Reprint edition,5/24/11,Brandon Sanderson,The Way of Kings,309
Hachette Books; Reprint edition,2006/3/1,Mitch Albom,The Five People You Meet in Heaven,310
MIRA; 1st edition,2/21/17,Pam Jenoff,The Orphan's Tale: A Novel,311
William Morrow; Reprint edition,10/31/17,Agatha Christie,Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries),312
Flatiron Books; Reprint edition,7/25/17,Liane Moriarty,Truly Madly Guilty,313
Andrews McMeel Publishing; Revised edition,02/17/05,r.h. Sin,Whiskey Words & a Shovel I,314
Emily Curtis,6/15/17,emily curtis,in the absence of the sun,315
Picador; Reprint edition,2006/1/10,Marilynne Robinson,Gilead: A Novel,316
Back Bay Books; Reprint edition,2/20/18,Elin Hilderbrand,The Identicals,317
Andrews McMeel Publishing,2/13/18,Reyna Biddy,A Psalm for Us,318
Fantagraphics; 1 edition,2/14/17,Emil Ferris,My Favorite Thing Is Monsters,319
Tor Books; Reprint edition,8/16/16,Cixin Liu,The Dark Forest (Remembrance of Earth's Past),320
iBooks,1/16/15,Byron Preiss,The Secret,321
Anchor Books; 1st edition,2012/7/3,Erin Morgenstern,The Night Circus,322
William Morrow; 1st Edition edition,01/18/01,A. J. Finn,The Woman in the Window: The Most Exciting Debut Thriller of the Year,323
Random House Trade Paperbacks; Reprint edition,5/23/17,Graham Moore,The Last Days of Night: A Novel,324
Atlantic Monthly Press,03/18/04,Martha Grimes,The Knowledge: A Richard Jury Mystery (Richard Jury Mysteries),325
Grosset &amp; Dunlap; English Language edition,2/1/99,Natasha Wing,The Night Before Easter,326
Del Rey; Reprint edition,5/29/07,Richard K. Morgan,Woken Furies: A Takeshi Kovacs Novel,327
Gallery/Scout Press; Reprint edition,4/19/16,Ruth Ware,"In a Dark, Dark Wood",328
Dell; Reissue edition,6/2/92,Diana Gabaldon,Outlander,329
"Little, Brown and Company",6/19/18,Elin Hilderbrand,The Perfect Couple,330
Berkley,2/13/18,Kimmery Martin,The Queen of Hearts,331
"Tyndale House Publishers, Inc.; Original edition",2009/10/1,Francine Rivers,A Lineage of Grace: Five Stories of Unlikely Women Who Changed Eternity,332
Baen,06/18/03,David Weber,A Call to Vengeance (Manticore Ascendant),333
Berkley,06/18/03,Laura Childs,Plum Tea Crazy (A Tea Shop Mystery),334
Story Warren Books,12/14/12,S. D. Smith,The Green Ember (The Green Ember Series: Book 1),335
Mariner Books,2003/5/1,Yann Martel,Life of Pi,336
Berkley; Reissue edition,2010/9/7,Samuel Shem,The House of God,337
Marian Wood Books/Putnam; 1st Edition edition,8/22/17,Sue Grafton,Y is for Yesterday (A Kinsey Millhone Novel),338
Houghton Mifflin Harcourt,05/17/12,Ursula K. Le Guin,No Time to Spare: Thinking About What Matters,339
Bantam; Reissue edition,5/1/95,Daniel Quinn,Ishmael:A Novel,340
Harcourt; Reprint edition,2007/10/8,William Goldman,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,341
CreateSpace Independent Publishing Platform,9/24/16,Bella Forrest,The Gender Game (Volume 1),342
Random House Books for Young Readers; 1st edition,10/12/50,Dr. Seuss,If I Ran the Zoo (Classic Seuss),343
Weldon Owen; Not for Online ed. edition,12/17/12,Signe Bergstrom,The Art and Making of The Greatest Showman,344
Scribner; Boxed Set edition,06/16/12,Stephen King,The Dark Tower 8-Book Boxed Set,345
Del Rey; Reprint edition,07/15/07,Pierce Brown,Golden Son: Book 2 of the Red Rising Saga (Red Rising Series),346
Riverhead Books,03/18/04,Meg Wolitzer,The Female Persuasion: A Novel,347
Knopf,2/27/18,Peter Carey,A Long Way from Home: A novel,348
Riverhead Books; 1st Edition edition,06/18/02,Sigrid Nunez,The Friend: A Novel,349
Simon &amp; Schuster; First Edition edition,10/17/10,Alice Hoffman,The Rules of Magic: A Novel (The Practical Magic Series),350
St. Martin's Press,10/18/04,Lisa Scottoline,After Anna,351
Flatiron Books; Reprint edition,1/23/18,Laurie Frankel,This Is How It Always Is: A Novel,352
Hogarth,11/17/07,Sally Rooney,Conversations with Friends: A Novel,353
Orbit,8/15/17,N. K. Jemisin,The Stone Sky (The Broken Earth),354
Alfred A. Knopf,9/23/23,Kahlil Gibran,The Prophet (A Borzoi Book),355
"Little, Brown and Company",11/20/17,James Patterson,The People vs. Alex Cross,356
Gallery Books,5/22/18,Mary Alice Monroe,Beach House Reunion (The Beach House),357
Three Rivers Press,04/16/10,Zachary Auburn,"How to Talk to Your Cat About Gun Safety: And Abstinence, Drugs, Satanism, and Other Dangers That Threaten Their Nine Lives",358
Portfolio,10/31/17,Scott Adams,Win Bigly: Persuasion in a World Where Facts Don't Matter,359
Harper Perennial; Reprint edition,02/17/05,Ann Patchett,Commonwealth: A Novel,360
Crown Forum,03/17/10,Antonin Scalia,"Scalia Speaks: Reflections on Law, Faith, and Life Well Lived",361
Ballantine Books,9/25/12,Michael Crichton,Jurassic Park: A Novel,362
HarperCollins; Reprint edition,9/28/10,Neil Gaiman,The Graveyard Book,363
Knopf; 1st Edition edition,10/17/17,Tom Hanks,Uncommon Type: Some Stories,364
Arthur A. Levine Books; Special Rehearsal Script ed. edition,7/31/16,J.K. Rowling,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",365
HarperTeen,05/17/09,Adam Silvera,They Both Die at the End,366
Dutton,10/18/16,Nick Offerman,Good Clean Fun: Misadventures in Sawdust at Offerman Woodshop,367
Anchor,6/1/91,Joseph Campbell,The Power of Myth,368
Penguin Books; Reprint edition,7/30/13,Jojo Moyes,Me Before You,369
Random House,1/16/18,Denis Johnson,The Largesse of the Sea Maiden: Stories,370
Del Rey; Reprint edition,1/30/18,Timothy Zahn,Thrawn (Star Wars),371
G.P. Putnam's Sons,06/18/03,Alma Katsu,The Hunger,372
Grand Central Publishing,12/18/06,Douglas Preston,The Pharaoh Key (Gideon Crew),373
Plume; Reissue edition,6/1/86,August Wilson,Fences,374
Harper Perennial; 1 edition,05/14/08,Roxane Gay,Bad Feminist: Essays,375
Pamela Dorman Books,8/15/17,Shari Lapena,A Stranger in the House,376
Anchor; Reprint edition,2012/8/7,Stephen King,The Stand,377
Back Bay Books; Reprint edition,12/14/08,Brad Stone,The Everything Store: Jeff Bezos and the Age of Amazon,378
Hachette Books,2003/10/8,Fred Rogers,The World According to Mister Rogers: Important Things to Remember,379
Berkley,2/1/63,Ken Kesey,One Flew Over the Cuckoo's Nest,380
Ballantine Books; Reissue edition,5/27/98,Caleb Carr,The Angel of Darkness,381
Library of America,2/27/18,Alexander Wolff,Basketball: Great Writing About America's Game (Library of America),382
Anchor; Reprint edition,10/17/17,Ali Smith,Autumn: A Novel (Seasonal Quartet),383
Vintage; Reprint edition,2007/5/8,Toni Morrison,The Bluest Eye (Vintage International),384
Vintage; Reprint edition,04/17/04,Stephanie Danler,Sweetbitter,385
Penguin Books; 1st edition,1/28/03,Sue Monk Kidd,The Secret Life of Bees,386
Houghton Mifflin Harcourt,06/18/03,Mario Giordano,Auntie Poldi and the Sicilian Lions (An Auntie Poldi Adventure),387
Chronicle Books,7/22/14,Jeffrey Brown,Goodnight Darth Vader,388
DAW; Reprint edition,11/17/15,Patrick Rothfuss,The Slow Regard of Silent Things (Kingkiller Chronicle),389
Puffin Books; 15 Book Boxed Set edition,,Roald Dahl,Roald Dahl Collection - 15 Paperback Book Boxed Set,390
McGraw-Hill; 1st edition,,Neil Rackham,SPIN Selling,391
Shadow Mountain; Reprint edition,01/13/10,Camron Wright,The Rent Collector,392
Scribner,10/17/06,Ernest Hemingway,The Sun Also Rises,393
"Black Dog &amp; Leventhal; Deluxe, Illustrated, Anniversary edition",9/26/17,Edith Hamilton,"Mythology: Timeless Tales of Gods and Heroes, 75th Anniversary Illustrated Edition",394
"Farrar, Straus and Giroux; 1 edition",6/14/02,Fyodor Dostoevsky,The Brothers Karamazov,395
William Morrow Paperbacks; Reprint edition,4/27/94,Scott McCloud,Understanding Comics: The Invisible Art,396
William Morrow,4/17/18,Christopher Moore,Noir: A Novel,397
Vintage,3/13/89,Vladimir Nabokov,Lolita,398
Broadway Books; Reprint edition,7/31/07,Gillian Flynn,Sharp Objects,399
"Hay House, Inc.",06/16/12,Alex Ortner,Gorilla Thumps and Bear Hugs: A Tapping Solution Children_�s Story,400
Grand Central Publishing,10/18/04,Jeffery Deaver,The Cutting Edge (A Lincoln Rhyme Novel),401
Vintage,5/5/92,Cormac McCarthy,Blood Meridian: Or the Evening Redness in the West,402
Del Rey; Reprint edition,9/27/16,Pierce Brown,Morning Star: Book 3 of the Red Rising Saga (Red Rising Series),403
Forever,3/20/18,Jodi Ellen Malpas,With This Man (A This Man Novel),404
Mariner Books; Reissue edition,9/18/12,J.R.R. Tolkien,The Fellowship of the Ring: Being the First Part of The Lord of the Rings,405
Grand Central Publishing,07/13/05,Kelly Williams Brown,Adulting: How to Become a Grown-up in 468 Easy(ish) Steps,406
Simon &amp; Schuster; Reprint edition,03/14/06,Graeme Simsion,The Rosie Project: A Novel,407
Washington Square Press; Reprint edition,07/17/02,Fredrik Backman,Britt-Marie Was Here: A Novel,408
Atria Books,05/18/06,Fredrik Backman,Us Against You: A Novel (Beartown),409
St. Martin's Griffin; Reprint edition,9/29/05,Gregory David Roberts,Shantaram: A Novel,410
Riverhead Books; Reprint edition,12/16/07,Paula Hawkins,The Girl on the Train,411
Hogarth; Reprint edition,06/18/03,John Boyne,The Heart's Invisible Furies: A Novel,412
William Morrow Paperbacks,06/18/02,Janet Beard,The Atomic City Girls: A Novel,413
Penguin; Slp edition,10/28/10,Roald Dahl,"Roald Dahl Magical Gift Set (4 Books): Charlie and the Chocolate Factory, James and the Giant Peach, Fantastic Mr. Fox, Charlie and the Great Glass Elevator",414
Broadway Books; Reprint edition,4/22/14,Gillian Flynn,Gone Girl,415
Insight Editions,10/18/16,Chelsea Monroe-Cassel,World of Warcraft: The Official Cookbook,416
"Little, Brown and Company and Knopf",04/18/06,Bill Clinton,The President Is Missing,417
Scribner; Reprint edition,2005/11/1,Richard Adams,Watership Down: A Novel,418
MCD; Reprint edition,2/27/18,Jeff VanderMeer,Borne: A Novel,419
Harper Voyager,9/18/18,R. A. Salvatore,Timeless: A Drizzt Novel,420
Vintage,2006/1/3,Haruki Murakami,Kafka on the Shore,421
Gallery Books; Paperback Edition edition,7/24/12,Stephen King,11/22/63: A Novel,422
Simon &amp; Schuster; 1st Edition edition,9/19/17,Nelson DeMille,The Cuban Affair: A Novel,423
G.P. Putnam's Sons,5/29/18,Clive Cussler,The Gray Ghost (A Sam and Remi Fargo Adventure),424
William Morrow; First Edition edition,08/17/08,Karin Slaughter,The Good Daughter: A Novel,425
Vintage Books; Reprint edition,6/28/99,John Berendt,Midnight in the Garden of Good and Evil: A Savannah Story,426
Bantam,09/18/10,Dean Koontz,The Forbidden Door: A Jane Hawk Novel,427
Grand Central Publishing; Reprint edition,01/17/08,Nicholas Sparks,Two by Two,428
Andrews McMeel Publishing; 3 edition,2012/5/1,Thomas Hill,"What to Expect When Your Wife Is Expanding: A Reassuring Month-by-Month Guide for the Father-to-Be, Whether He Wants Advice or Not(3rd Edition)",429
Mariner Books; 1 edition,10/4/99,Thomas Merton,The Seven Storey Mountain,430
Harper,03/18/04,Anne Hillerman,"Cave of Bones (A Leaphorn, Chee & Manuelito Novel)",431
Delacorte Press,5/15/18,Danielle Steel,The Cast: A Novel,432
Atria Books,02/16/08,Colleen Hoover,It Ends with Us: A Novel,433
G.P. Putnam's Sons; First Edition edition,9/19/17,Jan Karon,To Be Where You Are (A Mitford Novel),434
St. Martin's Press; First Edition: December 2017 edition,05/17/12,Nora Roberts,"Year One: Chronicles of the One, Book 1",435
Waterhouse Press,12/26/17,Helen Hardt,Twisted (Steel Brothers Saga Book 8),436
Penguin Books; 1 edition,9/21/06,Amy Tan,The Joy Luck Club: A Novel,437
Soho Press; Special edition,1/30/18,Delores Phillips,The Darkest Child,438
New Directions; unknown edition,,Tennessee Williams,A Streetcar Named Desire (New Directions Paperbook),439
Andrews McMeel Publishing,09/18/01,Lang Leav,Sea of Strangers,440
Orbit,3/14/17,Andrzej Sapkowski,The Lady of the Lake (The Witcher),441
G.P. Putnam's Sons,06/18/02,Alex Berenson,The Deceivers (A John Wells Novel),442
Pantheon,2/13/18,Ben Dolnick,The Ghost Notebooks: A Novel,443
Atria/Keywords Press,9/19/17,Gabbie Hanna,Adultolescence,444
Penguin Books,,Carlos Ruiz Zafón,The Shadow of the Wind,445
Bloomsbury USA,2/13/18,Isaac Butler,The World Only Spins Forward: The Ascent of Angels in America,446
Harper Paperbacks; Reprint edition,2/27/18,Daniel Silva,House of Spies: A Novel (Gabriel Allon),447
Anchor; Reprint edition,10/13/97,Margaret Atwood,Alias Grace: A Novel,448
Random House Trade Paperbacks; Reprint edition,12/16/08,Arundhati Roy,The God of Small Things: A Novel,449
Mariner Books; 1 edition,2005/5/1,Daniel Keyes,Flowers for Algernon,450
W. W. Norton,10/17/05,Chuck Palahniuk,Fight Club: A Novel,451
G.P. Putnam's Sons,06/18/02,Tom Sweterlitsch,The Gone World,452
Puffin Books; Reprint edition,8/16/07,Roald Dahl,James and the Giant Peach,453
Games Workshop,06/18/03,Dan Abnett,The Magos (Eisenhorn),454
Vintage; Reprint edition,4/17/12,E L James,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),455
Atria/Keywords Press,7/19/16,Shane Dawson,It Gets Worse: A Collection of Essays,456
"Houghton Mifflin Harcourt; Reprint, Illustrated edition",01/13/10,J.R.R. Tolkien,The Hobbit: Illustrated Edition,457
Simon &amp; Schuster; 1 edition,2003/7/1,William Shakespeare,Macbeth (Folger Shakespeare Library),458
CreateSpace Independent Publishing Platform; 1st edition,03/18/03,Joanne DeMaio,Beach Bliss,459
Orbit,8/16/16,N. K. Jemisin,The Obelisk Gate (The Broken Earth),460
Crossing Press; Reprint edition,2007/8/1,Audre Lorde,Sister Outsider: Essays and Speeches (Crossing Press Feminist Series),461
Harper Perennial Modern Classics; Reissue edition,2008/6/10,Barbara Kingsolver,The Poisonwood Bible: A Novel,462
Touchstone,06/18/03,Nova Jacobs,The Last Equation of Isaac Severy: A Novel in Clues,463
Scribner,9/30/03,John Knowles,A Separate Peace,464
Broadway Books; Reprint edition,3/22/16,Nina George,The Little Paris Bookshop: A Novel,465
Harper Perennial; 1 edition,5/30/06,Liane Moriarty,The Last Anniversary: A Novel,466
Random House,3/20/18,Anna Quindlen,Alternate Side: A Novel,467
Atria/Keywords Press,10/15/03,Shane Dawson,I Hate Myselfie: A Collection of Essays by Shane Dawson,468
Dell; Reprint edition,02/18/01,Lee Child,No Middle Name: The Complete Collected Jack Reacher Short Stories,469
Grand Central Publishing; Reprint edition,10/24/17,James Patterson,The Black Book,470
Tor Books; Reprint edition,3/13/18,V. E. Schwab,A Conjuring of Light: A Novel (Shades of Magic),471
Grand Central Publishing; Reprint edition,1/23/18,Michael Connelly,The Late Show,472
Vision; Reprint edition,5/30/17,Nicholas Sparks,See Me,473
Ballantine Books,6/26/18,Emily Giffin,All We Ever Wanted: A Novel,474
Tor Fantasy,03/15/03,Brandon Sanderson,Words of Radiance: Book Two of the Stormlight Archive,475
St. Martin's Griffin; Reprint edition,2009/1/6,Kristin Hannah,Firefly Lane: A Novel,476
Harper Perennial Modern Classics,5/30/06,Betty Smith,A Tree Grows in Brooklyn (Modern Classics),477
Vintage; 2nd edition,5/12/98,Hunter S. Thompson,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,478
Knopf,06/18/02,Rhiannon Navin,Only Child: A novel,479
Button Poetry,01/15/04,Neil Hilborn,Our Numbered Days,480
Random House; First Edition edition,11/21/17,Elizabeth Berg,The Story of Arthur Truluv: A Novel,481
Forge Books; Reprint edition,10/31/17,William R. Forstchen,The Final Day: A John Matherson Novel,482
William Morrow,06/18/02,Charles Todd,The Gate Keeper: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries),483
Vintage; Reprint edition,4/17/12,E. L. James,Fifty Shades Darker,484
CreateSpace Independent Publishing Platform,1/17/13,Dmitry Glukhovsky,Metro 2033: First U.S. English edition (METRO by Dmitry Glukhovsky),485
Andrews McMeel Publishing,10/18/04,r.h. Sin,She Felt Like Feeling Nothing,486
"Farrar, Straus and Giroux; 1st edition",9/19/17,Alice McDermott,The Ninth Hour: A Novel,487
Berkley,06/18/02,Susan Meissner,As Bright as Heaven,488
Image Comics; Deluxe Edition edition,11/25/14,Brian K Vaughan,Saga Book One,489
Vintage; Reprint edition,2008/12/2,Leo Tolstoy,War and Peace (Vintage Classics),490
Penguin Books; Reprint edition,7/19/16,Jojo Moyes,After You: A Novel,491
Penguin Books; Reprint edition,6/14/16,Aziz Ansari,Modern Romance,492
Frontline,2012/1/3,Jonathan Cahn,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,493
Urban Books,1/30/18,Carl Weber,The Family Business 4: A Family Business Novel,494
Chronicle Books; First Printing edition,8/15/12,Francesco Marciuliano,I Could Pee on This: And Other Poems by Cats,495
Vintage; Reprint edition,2004/6/8,Toni Morrison,Song of Solomon,496
Anchor; 1 edition,3/22/11,Jennifer Egan,A Visit from the Goon Squad,497
CreateSpace Independent Publishing Platform,11/24/17,W.E.B. Du Bois,The Souls of Black Folk,498
William Morrow Paperbacks,2006/9/5,Daphne Du Maurier,Rebecca,499
Orbit,5/17/16,Andrzej Sapkowski,The Tower of Swallows (The Witcher),500
"Farrar, Straus and Giroux; Reissue edition",10/28/08,Joan Didion,Slouching Towards Bethlehem: Essays (FSG Classics),501
"Little, Brown and Company; 1st edition",1/16/18,Leni Zumas,Red Clocks: A Novel,502
St. Martin's Press,08/18/05,Mary Kay Andrews,The High Tide Club: A Novel,503
Vintage; Reissue edition,12/1/92,James Baldwin,The Fire Next Time,504
"Simon &amp; Schuster; Anniversary, Updated edition",6/15/10,Larry McMurtry,Lonesome Dove: A Novel,505
Pocket Star,2006/2/1,Sister Souljah,The Coldest Winter Ever,506
Dover Publications; Reprint edition,8/22/01,Fyodor Dostoyevsky,Crime and Punishment,507
Hogarth,10/18/04,Jo Nesbo,Macbeth (Hogarth Shakespeare),508
Dial Press Trade Paperback; Reprint edition,11/17/07,Sophie Kinsella,My Not So Perfect Life: A Novel,509
CreateSpace Independent Publishing Platform,9/29/16,Michael Williams,"Buddhism: Beginner_�s Guide to Understanding & Practicing Buddhism to Become Stress and Anxiety Free (Buddhism, Mindfulness, Meditation, Buddhism For Beginners)",510
Knopf,02/18/10,Anne Rice,Blood Communion: A Tale of Prince Lestat (Vampire Chronicles),511
Hogarth,10/18/04,Jo Nesbo,Macbeth (Hogarth Shakespeare),512
Thomas &amp; Mercer,01/18/02,Christopher Rice,Bone Music (The Burning Girl Series),513
Berkley,06/18/02,Chanel Cleeton,Next Year in Havana,514
