ID,Publisher,Time,Author,Title
3365,Sterling,10/28/2006,Mark Twain,The Adventures of Huckleberry Finn (Sterling Unabridged Classics Series)
3366,HarperCollins Publishers,02/06/2018,Stephanie Powell Watts,No One Is Coming to Save Us
3367,Barnes & Noble,12/01/2004,Stephen Crane,The Red Badge of Courage and Selected Short Fiction (Barnes & Noble Classics Series)
3368,Houghton Mifflin Harcourt,09/28/1996,Robert Penn Warren,All the King's Men
3369,Scribner,01/04/2011,Anthony Doerr,The Shell Collector
3370,Penguin Publishing Group,08/16/2016,Ivan Doig,Last Bus to Wisdom
3371,Penguin Publishing Group,12/26/2006,Leslie Marmon Silko,Ceremony: (Penguin Classics Deluxe Edition)
3372,Scribner,07/01/1995,F. Scott Fitzgerald,Tender Is the Night
3373,Penguin Publishing Group,03/25/2014,Meg Wolitzer,The Interestings
3374,Crown/Archetype,04/28/1991,Jean Shepherd,In God We Trust: All Others Pay Cash
3375,Penguin Publishing Group,01/07/2014,Sinclair Lewis,It Can't Happen Here
3376,Houghton Mifflin Harcourt,03/01/2016,Angela Flournoy,The Turner House
3377,Barnes & Noble,04/01/2006,Edgar Rice Burroughs,Tarzan of the Apes (Barnes & Noble Classics Series)
3378,HarperCollins Publishers,09/24/2013,Louise Erdrich,The Round House
3379,Dover Publications,01/27/1998,Mark Twain,The Adventures of Tom Sawyer (Classic Starts Series)
3380,Counterpoint Press,08/15/2017,Margaret Wilkerson Sexton,A Kind of Freedom
3381,Knopf Doubleday Publishing Group,09/05/2017,Nathan Englander,Dinner at the Center of the Earth
3382,Penguin Publishing Group,04/03/2018,Lesley Nneka Arimah,What It Means When a Man Falls from the Sky
3383,New York Review Books,06/20/2006,John Williams,Stoner
3384,Knopf Doubleday Publishing Group,04/03/2018,Weike Wang,Chemistry
3385,Random House Publishing Group,01/09/2018,Dan Chaon,Ill Will
3386,The Overlook Press,11/02/2010,Charles Portis,True Grit: A Novel
3387,Barnes & Noble,12/01/2005,Owen Wister,The Virginian (Barnes & Noble Classics Series)
3388,"Norton, W. W. & Company, Inc.",04/24/2006,Nicole Krauss,The History of Love
3389,"Soho Press, Incorporated",01/30/2018,Delores Phillips,The Darkest Child
3390,Penguin Publishing Group,04/24/2012,Geraldine Brooks,Caleb's Crossing
3391,Penguin Publishing Group,08/26/2008,Jack Kerouac,On the Road: The Original Scroll: (Penguin Classics Deluxe Edition)
3392,"Little, Brown and Company",05/01/2013,J. D. Salinger,Franny and Zooey
3393,Scribner,04/11/2017,Annie Proulx,Barkskins
3394,Random House Publishing Group,05/28/1999,Kurt Vonnegut,Mother Night
3395,Random House Publishing Group,03/06/2018,Victor LaValle,The Changeling
3396,Penguin Publishing Group,02/28/1994,John Steinbeck,Cannery Row
3397,Knopf Doubleday Publishing Group,01/02/2018,Peter Heller,Celine
3398,Scribner,04/13/2004,Meg Wolitzer,The Wife
3399,Dover Publications,05/26/1994,Mark Twain,Adventures of Huckleberry Finn (Dover Thrift Editions)
3400,HarperCollins Publishers,07/29/2014,Charles Bukowski,Ham on Rye
3401,Knopf Doubleday Publishing Group,03/03/2015,Cristina Henríquez,The Book of Unknown Americans
3402,HarperCollins Publishers,01/22/2013,Wiley Cash,A Land More Kind Than Home: A Novel
3403,Penguin Publishing Group,02/06/2018,Danielle Lazarin,Back Talk
3404,Grand Central Publishing,01/10/2017,Min Jin Lee,Free Food for Millionaires
3405,Knopf Doubleday Publishing Group,09/27/2005,Philip Roth,The Plot Against America
3406,"Grove/Atlantic, Inc.",05/10/2011,Karl Marlantes,Matterhorn: A Novel of the Vietnam War
3407,Washington Square Press,08/05/2008,Jodi Picoult,Second Glance
3408,Counterpoint Press,07/11/2017,Eve Babitz,Sex and Rage
3409,Picador,02/17/2009,Denis Johnson,Jesus' Son
3410,"Little, Brown and Company",02/21/2017,Adam Haslett,Imagine Me Gone
3411,Picador,01/09/2018,Andre Aciman,Enigma Variations: A Novel
3412,Picador,04/27/2009,Jeffrey Eugenides,The Virgin Suicides
3413,Scribner,02/16/2016,Ernest Hemingway,The Sun Also Rises: The Hemingway Library Edition
